Trigger,Param1_BB/Dist,Param2_RSI,SL_ATR,TP_ATR,Trades,WinRate,ProfitFactor,Expectancy
BB_RSI_Combo,2.0,25,1.5,0.8,934,68.3,0.63,-12.0028
BB_RSI_Combo,2.0,15,4.0,0.5,633,76.01,0.58,-3.2761
BB_RSI_Combo,2.0,20,4.0,0.5,835,75.83,0.56,-3.4622
BB_RSI_Combo,2.0,15,3.0,0.5,634,74.58,0.52,-6.1628
BB_RSI_Combo,2.0,25,4.0,0.5,960,74.64,0.51,-4.1246
BB_RSI_Combo,2.0,20,3.0,0.5,836,74.4,0.49,-6.22
BB_RSI_Combo,2.0,15,2.0,0.5,634,72.09,0.49,-8.9484
BB_RSI_Combo,2.0,20,2.0,0.5,836,72.0,0.47,-9.119
BB_RSI_Combo,2.0,25,3.0,0.5,961,73.17,0.45,-6.869
BB_RSI_Combo,2.0,15,1.5,0.5,636,68.56,0.44,-12.7872
BB_RSI_Combo,2.0,25,2.0,0.5,961,70.59,0.43,-9.9055
BB_RSI_Combo,2.0,20,1.5,0.5,838,67.9,0.42,-13.1678
BB_RSI_Combo,2.0,25,1.5,0.5,964,66.67,0.4,-13.7032
