param_hash,entry,regime,sl_atr,tp_atr,risk_pct,trailing,passed_synthetic,expectancy,win_rate,profit_factor,sharpe_ratio,total_trades
8ea429d642d9e9b318d7f26b99231b0a,ssf_cross,hurst_mean_reverting,4.0,3.0,0.01,False,False,0,0,0,0,0
ec07e8d9a0deccb969bd56e80b4665ac,ssf_cross,none,3.0,2.0,0.04,False,False,0,0,0,0,0
f548a818159c8129f97ca1348262387f,ssf_cross,hurst_mean_reverting,2.5,2.0,0.02,True,False,0,0,0,0,0
a9fda624ebff650b3d08ae519d5f9bcf,ssf_cross,none,2.0,5.0,0.01,False,False,0,0,0,0,0
8971fedb4e80da558a30657e75478c98,ssf_cross,hurst_trending,1.0,2.0,0.02,False,False,0,0,0,0,0
110afbe2efd26fbb4df1f6476df071dd,ssf_cross,chop_choppy,2.0,5.0,0.02,True,False,0,0,0,0,0
227fc9285fbfdff847b44a6f1bce32fc,ssf_cross,adx_strong,1.0,6.0,0.01,False,False,0,0,0,0,0
828802d0b3d1d970efadd455039f74df,ssf_cross,chop_choppy,3.0,4.0,0.03,False,False,0,0,0,0,0
a6bdc8a85273a11e88ced94de2ac51b4,ssf_cross,chop_choppy,4.0,5.0,0.03,True,False,0,0,0,0,0
976127eb1df33078e3407f65182a5d98,ssf_cross,hurst_mean_reverting,1.5,6.0,0.05,True,False,0,0,0,0,0
4e3344038122ae2434f063e9f607aca2,ssf_cross,chop_trending,1.5,3.0,0.02,True,False,0,0,0,0,0
93b46b37b53d33674eb24426359fffa6,ssf_cross,adx_strong,1.5,1.5,0.05,True,False,0,0,0,0,0
d3992fef7353cc74c8d470e51f91c5bc,ssf_cross,chop_trending,1.5,5.0,0.02,True,False,0,0,0,0,0
7218cefaa45dd910edb7bc74074bae66,ssf_cross,none,2.0,6.0,0.04,False,False,0,0,0,0,0
016017b28c291975ccd926577fdc00c7,ssf_cross,hurst_mean_reverting,1.5,4.0,0.03,False,False,0,0,0,0,0
37c86dee00d73a8b81c026bca977cfe2,ssf_cross,hurst_mean_reverting,2.5,2.0,0.02,True,False,0,0,0,0,0
5972920a5d57d933806cf42f36b97108,ssf_cross,chop_choppy,3.0,3.0,0.02,True,False,0,0,0,0,0
c6d2947f2fedad724dfbf88947d0a33a,ssf_cross,chop_choppy,4.0,3.0,0.05,True,False,0,0,0,0,0
f9abf4d9ad903be352017945c637c766,ssf_cross,adx_strong,2.0,3.0,0.05,False,False,0,0,0,0,0
92851199b237a76215c846c92106e08f,ssf_cross,chop_choppy,1.5,2.0,0.05,False,False,0,0,0,0,0
79f14fa6386ca99135eb5e00e28cff32,ssf_cross,adx_strong,3.0,5.0,0.03,False,False,0,0,0,0,0
1f6505ceea051005ba8e9440528bcc73,ssf_cross,none,1.0,4.0,0.02,False,False,0,0,0,0,0
d55ecd0f1a9b8fdf2bb48bf70b8eda3a,ssf_cross,hurst_mean_reverting,3.0,5.0,0.05,False,False,0,0,0,0,0
a76746594e4e5b54ce0228b362fa3f14,ssf_cross,chop_choppy,3.0,3.0,0.03,True,False,0,0,0,0,0
15216302c65e91458754d203443eb556,ssf_cross,none,2.5,1.5,0.03,True,False,0,0,0,0,0
8b4dccc89ff66d4d7c9955a0a7b747c9,ssf_cross,chop_trending,2.5,3.0,0.05,True,False,0,0,0,0,0
2dc44ec44edbf51b98ebda74a0374bb5,ssf_cross,adx_strong,3.0,5.0,0.03,True,False,0,0,0,0,0
953adbebe27f6902c2eefc91c529e349,ssf_cross,chop_trending,3.0,5.0,0.01,False,False,0,0,0,0,0
fe05134548803a8eb6ad7c98c6fad440,ssf_cross,hurst_trending,2.5,4.0,0.01,True,False,0,0,0,0,0
399d2bf61c9e90345057171c4ca4fec9,ssf_cross,hurst_trending,2.5,4.0,0.05,False,False,0,0,0,0,0
e11a5e9e770f6d7d30600b869b383bea,ssf_cross,hurst_trending,1.0,1.5,0.03,False,False,0,0,0,0,0
a9621c8bd18340d3dda707f0fd254990,ssf_cross,chop_choppy,1.0,6.0,0.04,False,False,0,0,0,0,0
2c90042c26b2f830fb47b859140b61b7,ssf_cross,hurst_mean_reverting,1.0,1.5,0.02,True,False,0,0,0,0,0
3057f95cab312918733802cbea0e6b20,ssf_cross,hurst_mean_reverting,4.0,2.0,0.03,False,False,0,0,0,0,0
9eb1f1050f429b3ca1e1b4ac0fb33091,ssf_cross,chop_choppy,2.0,3.0,0.02,True,False,0,0,0,0,0
72a8827affcc693ea14cbaa9da183fcb,ssf_cross,adx_strong,1.5,5.0,0.05,True,False,0,0,0,0,0
1d660f190b426131e68e037ff2e1dc77,ssf_cross,chop_choppy,3.0,5.0,0.04,False,False,0,0,0,0,0
dd9ff67360a34fe0ae33551b184d82eb,ssf_cross,adx_strong,1.0,1.5,0.05,False,False,0,0,0,0,0
a84cb2747642a4550050b5d0a365c5a0,ssf_cross,hurst_trending,3.0,5.0,0.03,True,False,0,0,0,0,0
32fbda15dc57da081ca02b00e25b8861,ssf_cross,hurst_mean_reverting,1.0,1.5,0.04,False,False,0,0,0,0,0
384b5972c124ef5dcbe652ec23e7c965,ssf_cross,chop_trending,1.5,4.0,0.01,True,False,0,0,0,0,0
d4e8c400bba878b681e9e2a798be1e82,ssf_cross,adx_strong,2.0,6.0,0.03,True,False,0,0,0,0,0
41e658284f0f86256c0e91410de3d422,ssf_cross,chop_choppy,2.0,6.0,0.04,False,False,0,0,0,0,0
72b2de8b14dea0bfb66ea00e178fbc99,ssf_cross,none,2.0,6.0,0.02,False,False,0,0,0,0,0
86c4f0123140e11b641a4cf8cc8ea3ac,ssf_cross,hurst_mean_reverting,1.5,6.0,0.05,True,False,0,0,0,0,0
bcb15dcff14a74c9fd480455d0b68d60,ssf_cross,chop_trending,2.5,2.0,0.05,True,False,0,0,0,0,0
13256d0d74ded1e10eded39a5711115b,ssf_cross,hurst_trending,3.0,6.0,0.04,True,False,0,0,0,0,0
f789d72c34cc86a1322fe1e75c655568,ssf_cross,chop_trending,2.5,3.0,0.05,True,False,0,0,0,0,0
dbe8992e052c07ee152fa986b0bee445,ssf_cross,chop_trending,3.0,3.0,0.05,True,False,0,0,0,0,0
0d0280793ed2eaf012b59bd85f81743e,ssf_cross,none,2.0,3.0,0.02,True,False,0,0,0,0,0
1fc4be406b669dfc41f7b29fb0fb4beb,ssf_cross,hurst_trending,1.5,2.0,0.05,True,False,0,0,0,0,0
7ddf59bd27bbbd4e1d9de72e044894d1,ssf_cross,chop_choppy,3.0,5.0,0.02,True,False,0,0,0,0,0
8630780ded86f2a1907d6afe68ff1fb0,ssf_cross,adx_strong,2.0,3.0,0.04,False,False,0,0,0,0,0
caa069ad8e765d27087baeccd97f5441,ssf_cross,chop_choppy,4.0,4.0,0.01,False,False,0,0,0,0,0
c3187a794356f40fef01f6ee1bd6e71c,ssf_cross,hurst_mean_reverting,2.0,1.5,0.04,True,False,0,0,0,0,0
e76bf74a841261b888fe275ffd54b0a0,ssf_cross,adx_strong,1.5,6.0,0.04,False,False,0,0,0,0,0
ee0ee1c2a981c62648aacd99c781015e,ssf_cross,hurst_trending,1.5,1.5,0.03,True,False,0,0,0,0,0
b83a26c948dc7931eb8fe06b402ca76b,ssf_cross,chop_choppy,3.0,2.0,0.03,True,False,0,0,0,0,0
c5e44925682cd67883c8a2219c0f4ca5,ssf_cross,hurst_trending,2.0,1.5,0.01,False,False,0,0,0,0,0
d15df5897846698cbe5e6f3066fd8b69,ssf_cross,hurst_trending,4.0,5.0,0.05,False,False,0,0,0,0,0
f5d0ea3f27063dd58a9175d8736a182e,ssf_cross,hurst_trending,4.0,4.0,0.04,True,False,0,0,0,0,0
5ff8dc1f08bd6db591a479c9475f77f1,ssf_cross,chop_choppy,4.0,5.0,0.05,False,False,0,0,0,0,0
a478467089f7c72a187c09505ba30eb3,ssf_cross,none,2.0,1.5,0.05,False,False,0,0,0,0,0
bf114ea7d04175d6e1b8fe732d5ab04d,ssf_cross,hurst_trending,1.5,6.0,0.05,False,False,0,0,0,0,0
eb92c84fc80d796afa6afaba21ed3fd4,ssf_cross,chop_trending,2.0,4.0,0.05,True,False,0,0,0,0,0
d9ba73e2f1297287f7f6ea00af895e46,ssf_cross,none,3.0,5.0,0.05,True,False,0,0,0,0,0
97dd5995170471f8d945bfe3b33a516e,ssf_cross,adx_strong,1.5,2.0,0.03,False,False,0,0,0,0,0
fcf03ecc8141c57235022341f637f08f,ssf_cross,hurst_mean_reverting,1.0,2.0,0.02,True,False,0,0,0,0,0
df0e06e7c5bc6210c81da5d2ec9fa7a3,ssf_cross,adx_strong,4.0,2.0,0.01,False,False,0,0,0,0,0
50eb1aef96efac612793339f365f0a6e,ssf_cross,none,2.5,6.0,0.01,False,False,0,0,0,0,0
7c44af780eadc2abe069c20b52c99c1f,ssf_cross,adx_strong,3.0,4.0,0.04,False,False,0,0,0,0,0
a68e2950876391fd1ad7f98d629cae5a,ssf_cross,hurst_mean_reverting,2.5,2.0,0.01,False,False,0,0,0,0,0
9f374fbbee1919069ddead2e3abdb6d4,ssf_cross,chop_trending,4.0,6.0,0.04,True,False,0,0,0,0,0
fb044c545008806ec4b61ff632d9d62d,ssf_cross,chop_choppy,4.0,2.0,0.03,False,False,0,0,0,0,0
5983f144ae9508193b7618540eac1c0c,ssf_cross,hurst_trending,2.5,1.5,0.04,True,False,0,0,0,0,0
a754b521ae21cdff683197d9f0970921,ssf_cross,chop_trending,1.5,2.0,0.04,False,False,0,0,0,0,0
bf205bb7972d58e465461f1b6e6ed5d9,ssf_cross,hurst_mean_reverting,3.0,4.0,0.02,True,False,0,0,0,0,0
2fbea68ed0d41b4cb5313016e74d8cdb,ssf_cross,chop_choppy,2.5,5.0,0.05,True,False,0,0,0,0,0
77117e645282b525d1cdec0fd7450a32,ssf_cross,chop_choppy,2.0,1.5,0.03,False,False,0,0,0,0,0
1d91a9fd1f5d243fe101b4e0d899c73f,ssf_cross,chop_choppy,4.0,6.0,0.02,False,False,0,0,0,0,0
89782668abacfe541d0092a92cb55bef,ssf_cross,chop_trending,2.5,4.0,0.02,True,False,0,0,0,0,0
6f2e47a12fa6bf632bca8fee24a50d89,ssf_cross,chop_trending,2.5,2.0,0.01,True,False,0,0,0,0,0
8c9e051004ac3d2c3b333dc72b11f85d,ssf_cross,none,2.5,1.5,0.03,True,False,0,0,0,0,0
394a0997373b5400c56367c3b55ee126,ssf_cross,adx_strong,2.5,1.5,0.04,False,False,0,0,0,0,0
f8a9d4b5ba1fb69fc52bf72985e60e6c,ssf_cross,none,3.0,3.0,0.01,False,False,0,0,0,0,0
3bc1b1f1994134d460d8819603bd2c3d,ssf_cross,chop_trending,1.0,1.5,0.05,True,False,0,0,0,0,0
97919a8255ae4728c6cbc0a8bb8c12a8,ssf_cross,adx_strong,3.0,1.5,0.01,True,False,0,0,0,0,0
439d433b782a08e7718865f76bfcc6d2,ssf_cross,none,1.0,2.0,0.01,False,False,0,0,0,0,0
9d937fae588b3d414856734d9455d050,ssf_cross,adx_strong,4.0,6.0,0.05,True,False,0,0,0,0,0
5f9d58e95021db0465809567b8a07c2e,ssf_cross,hurst_mean_reverting,3.0,6.0,0.03,True,False,0,0,0,0,0
4949b6618cf5471c599fcc85e4a87bdd,ssf_cross,none,4.0,6.0,0.05,True,False,0,0,0,0,0
d6e2b804007dd81c1ed21c09cedbe0fe,ssf_cross,adx_strong,3.0,2.0,0.02,False,False,0,0,0,0,0
5707678b6d6c7d12615df60df8a2633b,ssf_cross,hurst_trending,3.0,5.0,0.01,False,False,0,0,0,0,0
26fa9201e0421910de90f583920a38f0,ssf_cross,hurst_mean_reverting,2.5,6.0,0.05,True,False,0,0,0,0,0
