Trial,Strategy,PF,WR,Sharpe,Score,Params
0,CAPITULATION,0.28,4.17,0.753,0.01,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.015601864044243652, 'b_upper': 0.9155994520336203, 'b_trigger_l': 0.05871254182522992, 'b_trigger_s': 0.9299264218662402, 'vol_mult': 2.2421185223120967, 'atr_mult': 2.4453378978124864, 'sl_atr': 0.6, 'tp_atr': 7.8, 'max_bars_hold': 85}"
1,TREND_SCALP,0.84,44.67,-3.155,1.832,"{'strategy_type': 'TREND_SCALP', 'use_candle_color': True, 'regime': 'chop', 'use_sweep': False, 'sweep_lookback': 25, 'use_poc': True, 'sl_atr': 3.3, 'tp_atr': 5.0, 'max_bars_hold': 14}"
2,TREND_SCALP,0.78,34.62,-0.572,3.23,"{'strategy_type': 'TREND_SCALP', 'use_candle_color': True, 'regime': 'any', 'use_sweep': True, 'sweep_lookback': 27, 'use_poc': False, 'sl_atr': 1.9, 'tp_atr': 5.5, 'max_bars_hold': 38}"
6,RSI_ADX_CHOP,0.91,46.92,-1.307,4.115,"{'strategy_type': 'RSI_ADX_CHOP', 'adx_min': 6.793913689074525, 'adx_max': 30.698671808344926, 'chop_max': 65.21570097233794, 'rsi_os': 31.225543951389923, 'rsi_ob': 75.41934359909122, 'sl_atr': 3.2, 'tp_atr': 4.4, 'max_bars_hold': 48}"
7,TREND_SCALP,0.96,48.29,-0.815,4.894,"{'strategy_type': 'TREND_SCALP', 'use_candle_color': False, 'regime': 'trend', 'use_sweep': True, 'sweep_lookback': 8, 'use_poc': True, 'sl_atr': 5.7, 'tp_atr': 6.6, 'max_bars_hold': 67}"
11,RSI_ADX_CHOP,1.04,52.56,-0.386,5.99,"{'strategy_type': 'RSI_ADX_CHOP', 'adx_min': 5.167127839121877, 'adx_max': 34.32373804595146, 'chop_max': 68.05050216868626, 'rsi_os': 20.569565822799433, 'rsi_ob': 77.10282407545292, 'sl_atr': 4.9, 'tp_atr': 6.2, 'max_bars_hold': 69}"
15,RSI_ADX_CHOP,1.51,56.57,36.014,44.201,"{'strategy_type': 'RSI_ADX_CHOP', 'adx_min': 6.062699637389658, 'adx_max': 24.3407807345585, 'chop_max': 68.83522054626819, 'rsi_os': 21.680657254861313, 'rsi_ob': 72.10203703978588, 'sl_atr': 4.7, 'tp_atr': 6.9, 'max_bars_hold': 82}"
16,RSI_ADX_CHOP,1.56,59.17,2.224,10.821,"{'strategy_type': 'RSI_ADX_CHOP', 'adx_min': 5.228472995521515, 'adx_max': 23.969387750921204, 'chop_max': 69.5885118354549, 'rsi_os': 20.06092756402433, 'rsi_ob': 72.40123333925567, 'sl_atr': 4.4, 'tp_atr': 5.6, 'max_bars_hold': 82}"
17,RSI_ADX_CHOP,1.42,70.25,19.463,28.748,"{'strategy_type': 'RSI_ADX_CHOP', 'adx_min': 8.825856038208443, 'adx_max': 23.46237202388401, 'chop_max': 69.8986337342638, 'rsi_os': 25.153640691146315, 'rsi_ob': 70.90571881153801, 'sl_atr': 4.1, 'tp_atr': 2.5, 'max_bars_hold': 84}"
18,RSI_ADX_CHOP,1.04,74.68,16.69,25.278,"{'strategy_type': 'RSI_ADX_CHOP', 'adx_min': 9.377183910111688, 'adx_max': 24.912358814642314, 'chop_max': 62.06227736901612, 'rsi_os': 26.630226367398347, 'rsi_ob': 68.27112810372532, 'sl_atr': 3.8, 'tp_atr': 1.7, 'max_bars_hold': 98}"
19,RSI_ADX_CHOP,0.77,51.46,31.294,36.75,"{'strategy_type': 'RSI_ADX_CHOP', 'adx_min': 8.671258009143273, 'adx_max': 20.79421656444249, 'chop_max': 63.05769338611774, 'rsi_os': 25.854433919798222, 'rsi_ob': 71.46211266637619, 'sl_atr': 2.7, 'tp_atr': 2.3, 'max_bars_hold': 90}"
