Trial,Strategy,PF,WR,Sharpe,Score,Params
20,MACD_REV,0.56,76.07,-1.936,5.351,"{'strategy_type': 'MACD_REV', 'chop_thresh': 60.0053470428866, 'sweep_lookback': 20, 'sl_atr': 2.6, 'tp_atr': 0.8, 'max_bars_hold': 92}"
23,RSI_ADX_CHOP,1.15,64.25,-0.075,7.8,"{'strategy_type': 'RSI_ADX_CHOP', 'adx_min': 12.100528860164045, 'adx_max': 26.53237485025963, 'chop_max': 58.406242018845724, 'rsi_os': 24.0135477295912, 'rsi_ob': 66.12487842786325, 'sl_atr': 4.8, 'tp_atr': 3.2, 'max_bars_hold': 77}"
24,CAPITULATION,0.92,68.21,-1.101,6.48,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.09827684441673253, 'b_upper': 0.9990910750529807, 'b_trigger_l': 0.19989402156256586, 'b_trigger_s': 0.8027078201295957, 'vol_mult': 1.359171387391502, 'atr_mult': 1.1146274759780757, 'sl_atr': 4.0, 'tp_atr': 1.7, 'max_bars_hold': 52}"
26,RSI_ADX_CHOP,1.16,58.27,0.297,7.604,"{'strategy_type': 'RSI_ADX_CHOP', 'adx_min': 11.517006813421915, 'adx_max': 22.174406297115734, 'chop_max': 65.16624994630459, 'rsi_os': 23.063003582165624, 'rsi_ob': 69.5612435890066, 'sl_atr': 5.4, 'tp_atr': 3.7, 'max_bars_hold': 61}"
28,RSI_ADX_CHOP,1.15,79.95,24.065,33.51,"{'strategy_type': 'RSI_ADX_CHOP', 'adx_min': 7.155285387818162, 'adx_max': 26.480668540082114, 'chop_max': 67.21751751800844, 'rsi_os': 22.97433337588479, 'rsi_ob': 69.79136551771559, 'sl_atr': 3.0, 'tp_atr': 1.1, 'max_bars_hold': 74}"
29,CAPITULATION,0.79,76.09,25.312,33.291,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.0002551611484422969, 'b_upper': 0.982383341035709, 'b_trigger_l': 0.082620147133396, 'b_trigger_s': 0.9467115220819008, 'vol_mult': 1.1967858959776596, 'atr_mult': 1.4593122757022083, 'sl_atr': 2.9, 'tp_atr': 0.9, 'max_bars_hold': 74}"
31,CAPITULATION,0.81,73.88,1.688,9.506,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.0010026634940691545, 'b_upper': 0.985858194958079, 'b_trigger_l': 0.07668688364064952, 'b_trigger_s': 0.9488282630605125, 'vol_mult': 1.10495197413828, 'atr_mult': 1.4265598727011342, 'sl_atr': 2.9, 'tp_atr': 1.0, 'max_bars_hold': 57}"
32,CAPITULATION,1.16,86.13,-1.283,8.81,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.04003832481710165, 'b_upper': 0.9595451719155884, 'b_trigger_l': 0.11813800963315782, 'b_trigger_s': 0.8742881644189188, 'vol_mult': 1.7475145266533607, 'atr_mult': 1.8270527516567343, 'sl_atr': 2.3, 'tp_atr': 0.5, 'max_bars_hold': 79}"
33,CAPITULATION,1.67,67.89,-0.464,16.335,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.039253333888198405, 'b_upper': 0.9632831475909915, 'b_trigger_l': 0.11249341750254353, 'b_trigger_s': 0.898756172593679, 'vol_mult': 2.168930831005779, 'atr_mult': 1.8164247219274714, 'sl_atr': 1.2, 'tp_atr': 1.1, 'max_bars_hold': 73}"
34,CAPITULATION,1.18,53.27,1.252,8.119,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.07189684580455505, 'b_upper': 0.939582798087982, 'b_trigger_l': 0.09682166821241656, 'b_trigger_s': 0.8652507399101264, 'vol_mult': 1.6617350032624687, 'atr_mult': 1.6077039999528153, 'sl_atr': 3.4, 'tp_atr': 7.3, 'max_bars_hold': 87}"
36,CAPITULATION,0.93,49.22,-0.067,5.645,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.00272485406252928, 'b_upper': 0.9375923806249059, 'b_trigger_l': 0.053426369934115245, 'b_trigger_s': 0.8411775708752857, 'vol_mult': 1.6878583447625983, 'atr_mult': 1.1300772016991887, 'sl_atr': 2.9, 'tp_atr': 4.8, 'max_bars_hold': 11}"
38,RSI_ADX_CHOP,0.77,81.91,7.042,15.543,"{'strategy_type': 'RSI_ADX_CHOP', 'adx_min': 6.598457380295622, 'adx_max': 28.438961528214143, 'chop_max': 66.69136868641719, 'rsi_os': 22.370901567907286, 'rsi_ob': 68.41018319704253, 'sl_atr': 3.2, 'tp_atr': 0.8, 'max_bars_hold': 85}"
41,RSI_ADX_CHOP,1.57,71.98,40.597,50.505,"{'strategy_type': 'RSI_ADX_CHOP', 'adx_min': 8.074845989752731, 'adx_max': 24.76731410441831, 'chop_max': 69.713036662449, 'rsi_os': 24.31338342671982, 'rsi_ob': 70.57405355179174, 'sl_atr': 4.1, 'tp_atr': 2.3, 'max_bars_hold': 82}"
42,RSI_ADX_CHOP,0.93,62.09,30.63,37.629,"{'strategy_type': 'RSI_ADX_CHOP', 'adx_min': 7.382532705596164, 'adx_max': 25.42629129213904, 'chop_max': 67.57799906399042, 'rsi_os': 27.16338319220135, 'rsi_ob': 69.92485176657979, 'sl_atr': 3.0, 'tp_atr': 2.1, 'max_bars_hold': 82}"
43,RSI_ADX_CHOP,1.26,58.53,3.583,11.216,"{'strategy_type': 'RSI_ADX_CHOP', 'adx_min': 7.82813385387528, 'adx_max': 25.338552154635497, 'chop_max': 67.59915053729799, 'rsi_os': 27.442270584943405, 'rsi_ob': 70.01502248423463, 'sl_atr': 3.5, 'tp_atr': 3.5, 'max_bars_hold': 83}"
44,RSI_ADX_CHOP,1.76,79.25,37.728,48.933,"{'strategy_type': 'RSI_ADX_CHOP', 'adx_min': 6.195523560439413, 'adx_max': 26.297848482278244, 'chop_max': 68.20357208029709, 'rsi_os': 23.770380545089207, 'rsi_ob': 72.99570512766769, 'sl_atr': 4.7, 'tp_atr': 2.2, 'max_bars_hold': 95}"
45,RSI_ADX_CHOP,2.24,81.19,36.007,48.846,"{'strategy_type': 'RSI_ADX_CHOP', 'adx_min': 5.710323171440771, 'adx_max': 25.290619526425125, 'chop_max': 68.51734210648165, 'rsi_os': 24.061444174700902, 'rsi_ob': 73.2761030228336, 'sl_atr': 5.3, 'tp_atr': 2.1, 'max_bars_hold': 95}"
46,RSI_ADX_CHOP,2.68,78.69,49.817,63.726,"{'strategy_type': 'RSI_ADX_CHOP', 'adx_min': 5.799059957556089, 'adx_max': 25.54165862390648, 'chop_max': 68.54260157852026, 'rsi_os': 24.286742246774473, 'rsi_ob': 73.75215328188618, 'sl_atr': 5.3, 'tp_atr': 2.8, 'max_bars_hold': 100}"
47,RSI_ADX_CHOP,2.31,72.89,36.569,48.788,"{'strategy_type': 'RSI_ADX_CHOP', 'adx_min': 5.6618966396757155, 'adx_max': 24.81515116023167, 'chop_max': 68.53055816516265, 'rsi_os': 24.072856446566945, 'rsi_ob': 73.63884697272384, 'sl_atr': 5.4, 'tp_atr': 4.1, 'max_bars_hold': 100}"
48,RSI_ADX_CHOP,1.98,72.44,1.595,12.779,"{'strategy_type': 'RSI_ADX_CHOP', 'adx_min': 5.373972811583403, 'adx_max': 27.82094289688632, 'chop_max': 65.93782330553341, 'rsi_os': 23.74373424951951, 'rsi_ob': 74.04704488576584, 'sl_atr': 5.3, 'tp_atr': 4.0, 'max_bars_hold': 100}"
50,RSI_ADX_CHOP,2.23,70.72,1.048,12.81,"{'strategy_type': 'RSI_ADX_CHOP', 'adx_min': 5.9699413421266065, 'adx_max': 26.001224641606782, 'chop_max': 68.66680016562343, 'rsi_os': 24.402183952077742, 'rsi_ob': 75.88998455002562, 'sl_atr': 5.2, 'tp_atr': 4.6, 'max_bars_hold': 96}"
51,RSI_ADX_CHOP,1.55,67.28,30.618,39.996,"{'strategy_type': 'RSI_ADX_CHOP', 'adx_min': 6.12051555056037, 'adx_max': 24.322234830493503, 'chop_max': 68.72928256159543, 'rsi_os': 21.777934941182156, 'rsi_ob': 73.00604003325684, 'sl_atr': 4.6, 'tp_atr': 3.4, 'max_bars_hold': 94}"
52,RSI_ADX_CHOP,1.74,64.98,0.457,10.175,"{'strategy_type': 'RSI_ADX_CHOP', 'adx_min': 5.2331807537704025, 'adx_max': 23.42227492539763, 'chop_max': 69.97608895720437, 'rsi_os': 21.57369388217993, 'rsi_ob': 74.52910771480651, 'sl_atr': 5.1, 'tp_atr': 4.0, 'max_bars_hold': 100}"
53,RSI_ADX_CHOP,2.48,76.4,25.506,38.586,"{'strategy_type': 'RSI_ADX_CHOP', 'adx_min': 6.136227403455626, 'adx_max': 24.874524915073813, 'chop_max': 68.48518089105478, 'rsi_os': 24.05659713844151, 'rsi_ob': 73.00056898630702, 'sl_atr': 5.5, 'tp_atr': 2.9, 'max_bars_hold': 87}"
55,RSI_ADX_CHOP,2.45,62.32,1.101,34.683,"{'strategy_type': 'RSI_ADX_CHOP', 'adx_min': 6.0101293502820266, 'adx_max': 22.772472701519778, 'chop_max': 66.59431090665474, 'rsi_os': 24.676134053295375, 'rsi_ob': 72.67077682325252, 'sl_atr': 4.6, 'tp_atr': 2.7, 'max_bars_hold': 41}"
56,RSI_ADX_CHOP,1.76,63.14,-0.726,8.868,"{'strategy_type': 'RSI_ADX_CHOP', 'adx_min': 10.391877422733844, 'adx_max': 27.34469817592268, 'chop_max': 68.55924309627015, 'rsi_os': 23.10405211509286, 'rsi_ob': 75.14570217553019, 'sl_atr': 5.6, 'tp_atr': 7.5, 'max_bars_hold': 92}"
57,RSI_ADX_CHOP,1.13,61.55,1.456,9.001,"{'strategy_type': 'RSI_ADX_CHOP', 'adx_min': 6.402728326846569, 'adx_max': 24.92617755337309, 'chop_max': 66.43852395396556, 'rsi_os': 33.29746106691475, 'rsi_ob': 73.71960898552344, 'sl_atr': 4.2, 'tp_atr': 3.2, 'max_bars_hold': 88}"
58,RSI_ADX_CHOP,1.88,81.36,-0.294,11.482,"{'strategy_type': 'RSI_ADX_CHOP', 'adx_min': 7.796990132874454, 'adx_max': 29.387045136013384, 'chop_max': 68.61767963989391, 'rsi_os': 21.587513712324792, 'rsi_ob': 77.49973823536908, 'sl_atr': 5.9, 'tp_atr': 2.0, 'max_bars_hold': 96}"
59,RSI_ADX_CHOP,1.23,79.42,-0.104,9.528,"{'strategy_type': 'RSI_ADX_CHOP', 'adx_min': 5.070267441258062, 'adx_max': 25.89359157818697, 'chop_max': 67.49637568456036, 'rsi_os': 30.945033134817734, 'rsi_ob': 70.87375498247883, 'sl_atr': 4.7, 'tp_atr': 1.6, 'max_bars_hold': 93}"
61,RSI_ADX_CHOP,1.48,66.34,28.472,37.546,"{'strategy_type': 'RSI_ADX_CHOP', 'adx_min': 6.1893640647560595, 'adx_max': 24.19473723686239, 'chop_max': 68.62483395345325, 'rsi_os': 22.04521792923895, 'rsi_ob': 72.75047869813238, 'sl_atr': 4.6, 'tp_atr': 3.6, 'max_bars_hold': 94}"
62,RSI_ADX_CHOP,1.54,67.48,0.388,9.756,"{'strategy_type': 'RSI_ADX_CHOP', 'adx_min': 5.8951022283453804, 'adx_max': 24.520824450866073, 'chop_max': 68.87104153898719, 'rsi_os': 21.44173389445934, 'rsi_ob': 75.4272504326259, 'sl_atr': 4.3, 'tp_atr': 3.3, 'max_bars_hold': 98}"
63,RSI_ADX_CHOP,1.77,66.06,1.234,11.15,"{'strategy_type': 'RSI_ADX_CHOP', 'adx_min': 6.723644931691927, 'adx_max': 27.245903861962283, 'chop_max': 67.69947596984649, 'rsi_os': 23.465260634946063, 'rsi_ob': 73.27118170431181, 'sl_atr': 4.9, 'tp_atr': 4.4, 'max_bars_hold': 90}"
64,RSI_ADX_CHOP,1.28,67.06,-0.044,8.502,"{'strategy_type': 'RSI_ADX_CHOP', 'adx_min': 5.557891147184549, 'adx_max': 22.98250505665867, 'chop_max': 69.8126487032215, 'rsi_os': 20.72185786723023, 'rsi_ob': 72.17722952422986, 'sl_atr': 5.2, 'tp_atr': 2.6, 'max_bars_hold': 100}"
65,MACD_REV,0.99,72.15,1.657,9.842,"{'strategy_type': 'MACD_REV', 'chop_thresh': 59.9791304152312, 'sweep_lookback': 27, 'sl_atr': 5.4, 'tp_atr': 2.3, 'max_bars_hold': 85}"
66,RSI_ADX_CHOP,1.06,63.94,1.456,9.03,"{'strategy_type': 'RSI_ADX_CHOP', 'adx_min': 7.733398142462078, 'adx_max': 24.202244772738823, 'chop_max': 65.52282898659531, 'rsi_os': 35.51316390604913, 'rsi_ob': 74.33618372489619, 'sl_atr': 4.6, 'tp_atr': 3.0, 'max_bars_hold': 92}"
67,RSI_ADX_CHOP,2.28,64.53,4.176,15.469,"{'strategy_type': 'RSI_ADX_CHOP', 'adx_min': 5.087096425941686, 'adx_max': 25.7845526340927, 'chop_max': 68.97090319844658, 'rsi_os': 26.216808085034764, 'rsi_ob': 70.71694850012288, 'sl_atr': 5.0, 'tp_atr': 3.8, 'max_bars_hold': 89}"
68,RSI_ADX_CHOP,1.36,75.94,30.691,40.365,"{'strategy_type': 'RSI_ADX_CHOP', 'adx_min': 9.846727604670107, 'adx_max': 25.07772117620705, 'chop_max': 67.41902274235585, 'rsi_os': 24.84387623927475, 'rsi_ob': 72.20492846339033, 'sl_atr': 3.8, 'tp_atr': 1.8, 'max_bars_hold': 97}"
69,RSI_ADX_CHOP,1.45,78.59,11.638,21.847,"{'strategy_type': 'RSI_ADX_CHOP', 'adx_min': 10.155671514593541, 'adx_max': 26.79407371597986, 'chop_max': 67.08316435700958, 'rsi_os': 25.002888804995308, 'rsi_ob': 71.58474532876109, 'sl_atr': 3.8, 'tp_atr': 1.8, 'max_bars_hold': 100}"
70,RSI_ADX_CHOP,0.98,77.5,1.143,9.833,"{'strategy_type': 'RSI_ADX_CHOP', 'adx_min': 8.396803052923211, 'adx_max': 25.309587716608547, 'chop_max': 54.03651656003011, 'rsi_os': 39.519127930743366, 'rsi_ob': 71.96104849070805, 'sl_atr': 4.1, 'tp_atr': 1.5, 'max_bars_hold': 91}"
71,RSI_ADX_CHOP,1.54,73.63,40.364,50.347,"{'strategy_type': 'RSI_ADX_CHOP', 'adx_min': 6.565807262692703, 'adx_max': 24.517516441511113, 'chop_max': 69.10240113782211, 'rsi_os': 20.030387994952303, 'rsi_ob': 73.231342661703, 'sl_atr': 4.5, 'tp_atr': 2.3, 'max_bars_hold': 96}"
72,RSI_ADX_CHOP,1.18,70.26,-0.112,8.454,"{'strategy_type': 'RSI_ADX_CHOP', 'adx_min': 9.503876764849933, 'adx_max': 32.10697545444697, 'chop_max': 69.87854359509352, 'rsi_os': 20.386188929638404, 'rsi_ob': 70.87336034069659, 'sl_atr': 4.8, 'tp_atr': 2.4, 'max_bars_hold': 97}"
73,RSI_ADX_CHOP,2.36,74.73,97.436,109.989,"{'strategy_type': 'RSI_ADX_CHOP', 'adx_min': 6.857257025992403, 'adx_max': 23.845824404064786, 'chop_max': 67.91728559138085, 'rsi_os': 25.532641057945025, 'rsi_ob': 74.9687124016221, 'sl_atr': 3.7, 'tp_atr': 2.2, 'max_bars_hold': 96}"
74,RSI_ADX_CHOP,3.42,73.12,161.291,176.863,"{'strategy_type': 'RSI_ADX_CHOP', 'adx_min': 6.683485701877406, 'adx_max': 22.664253908323936, 'chop_max': 69.22457046096315, 'rsi_os': 26.06317122380884, 'rsi_ob': 76.04670875775244, 'sl_atr': 4.3, 'tp_atr': 2.2, 'max_bars_hold': 63}"
77,MACD_REV,0.94,61.76,-1.545,5.451,"{'strategy_type': 'MACD_REV', 'chop_thresh': 59.68215323469422, 'sweep_lookback': 13, 'sl_atr': 4.1, 'tp_atr': 2.6, 'max_bars_hold': 86}"
78,RSI_ADX_CHOP,1.8,73.15,502.467,513.182,"{'strategy_type': 'RSI_ADX_CHOP', 'adx_min': 6.873908117119084, 'adx_max': 23.411384885529692, 'chop_max': 68.03292708753204, 'rsi_os': 28.31239557641338, 'rsi_ob': 75.08230456306235, 'sl_atr': 4.3, 'tp_atr': 2.0, 'max_bars_hold': 48}"
80,RSI_ADX_CHOP,25.3,76.78,53.401,134.979,"{'strategy_type': 'RSI_ADX_CHOP', 'adx_min': 8.20017422517159, 'adx_max': 22.267105272609815, 'chop_max': 64.24475723915528, 'rsi_os': 27.709494778208235, 'rsi_ob': 78.84683924973538, 'sl_atr': 4.0, 'tp_atr': 1.4, 'max_bars_hold': 51}"
81,RSI_ADX_CHOP,25.52,80.87,734.811,817.458,"{'strategy_type': 'RSI_ADX_CHOP', 'adx_min': 8.21816719890333, 'adx_max': 22.555266569953666, 'chop_max': 59.855426128904305, 'rsi_os': 28.915219003850297, 'rsi_ob': 79.688253097647, 'sl_atr': 3.9, 'tp_atr': 1.3, 'max_bars_hold': 54}"
82,RSI_ADX_CHOP,27.98,76.78,732.054,821.672,"{'strategy_type': 'RSI_ADX_CHOP', 'adx_min': 8.90948258854816, 'adx_max': 22.280188436190027, 'chop_max': 59.38416002107798, 'rsi_os': 29.11085175940788, 'rsi_ob': 79.83797346190092, 'sl_atr': 4.0, 'tp_atr': 1.3, 'max_bars_hold': 51}"
83,RSI_ADX_CHOP,49.62,76.78,44.96,199.498,"{'strategy_type': 'RSI_ADX_CHOP', 'adx_min': 8.25174974758418, 'adx_max': 22.11360503319411, 'chop_max': 59.751497171839546, 'rsi_os': 29.38460962603628, 'rsi_ob': 79.5978514860901, 'sl_atr': 3.9, 'tp_atr': 1.2, 'max_bars_hold': 52}"
85,RSI_ADX_CHOP,25.07,80.36,13.976,95.222,"{'strategy_type': 'RSI_ADX_CHOP', 'adx_min': 8.210750565970592, 'adx_max': 22.382426680827926, 'chop_max': 59.59188286887693, 'rsi_os': 28.14775034988278, 'rsi_ob': 79.77796480187743, 'sl_atr': 3.4, 'tp_atr': 0.7, 'max_bars_hold': 54}"
86,RSI_ADX_CHOP,25.15,81.25,320.894,402.469,"{'strategy_type': 'RSI_ADX_CHOP', 'adx_min': 9.191467658201077, 'adx_max': 22.38595654339884, 'chop_max': 59.6463198807128, 'rsi_os': 28.17931161757276, 'rsi_ob': 79.80524154764568, 'sl_atr': 3.5, 'tp_atr': 0.7, 'max_bars_hold': 54}"
87,RSI_ADX_CHOP,25.02,78.28,12.713,93.601,"{'strategy_type': 'RSI_ADX_CHOP', 'adx_min': 9.162980140796883, 'adx_max': 22.282573846478154, 'chop_max': 59.527153053506574, 'rsi_os': 27.991389616389, 'rsi_ob': 79.7013829565859, 'sl_atr': 3.4, 'tp_atr': 0.7, 'max_bars_hold': 54}"
88,RSI_ADX_CHOP,0.9,73.41,790.256,798.297,"{'strategy_type': 'RSI_ADX_CHOP', 'adx_min': 10.930365877174497, 'adx_max': 22.510784992663314, 'chop_max': 60.53687377084721, 'rsi_os': 28.611788586603865, 'rsi_ob': 78.61507822860368, 'sl_atr': 3.3, 'tp_atr': 1.4, 'max_bars_hold': 46}"
91,RSI_ADX_CHOP,25.15,81.61,457.015,538.626,"{'strategy_type': 'RSI_ADX_CHOP', 'adx_min': 8.436614673105362, 'adx_max': 22.359060226273225, 'chop_max': 60.926485053365056, 'rsi_os': 28.616993841111736, 'rsi_ob': 79.93198880521417, 'sl_atr': 3.4, 'tp_atr': 0.9, 'max_bars_hold': 36}"
92,RSI_ADX_CHOP,25.48,85.45,348.607,431.592,"{'strategy_type': 'RSI_ADX_CHOP', 'adx_min': 8.713824800296141, 'adx_max': 23.470808542616005, 'chop_max': 61.265773816644, 'rsi_os': 28.87007365722329, 'rsi_ob': 78.35004179684782, 'sl_atr': 3.9, 'tp_atr': 1.0, 'max_bars_hold': 30}"
94,RSI_ADX_CHOP,26.4,89.49,301.584,387.733,"{'strategy_type': 'RSI_ADX_CHOP', 'adx_min': 10.777851147309653, 'adx_max': 23.455689044763616, 'chop_max': 61.599499924957875, 'rsi_os': 28.797797764043978, 'rsi_ob': 78.5634841018451, 'sl_atr': 4.3, 'tp_atr': 0.9, 'max_bars_hold': 27}"
95,RSI_ADX_CHOP,3.93,84.21,125.738,143.949,"{'strategy_type': 'RSI_ADX_CHOP', 'adx_min': 11.194090192611117, 'adx_max': 23.241053351433372, 'chop_max': 58.568764904260036, 'rsi_os': 31.81467701495429, 'rsi_ob': 78.1555047261439, 'sl_atr': 4.3, 'tp_atr': 0.9, 'max_bars_hold': 25}"
96,RSI_ADX_CHOP,25.26,85.94,184.829,267.203,"{'strategy_type': 'RSI_ADX_CHOP', 'adx_min': 10.471585413143398, 'adx_max': 22.64116867323672, 'chop_max': 61.72128112836267, 'rsi_os': 28.651650703675568, 'rsi_ob': 76.91221000597173, 'sl_atr': 3.6, 'tp_atr': 0.5, 'max_bars_hold': 33}"
99,MACD_REV,25.14,76.67,54.887,135.974,"{'strategy_type': 'MACD_REV', 'chop_thresh': 64.60457378394504, 'sweep_lookback': 35, 'sl_atr': 3.3, 'tp_atr': 1.0, 'max_bars_hold': 18}"
100,RSI_ADX_CHOP,1.88,73.0,19.893,30.833,"{'strategy_type': 'RSI_ADX_CHOP', 'adx_min': 9.530180771977669, 'adx_max': 23.61864808894658, 'chop_max': 62.29110831721822, 'rsi_os': 30.24287666104765, 'rsi_ob': 77.69371010555497, 'sl_atr': 3.6, 'tp_atr': 1.6, 'max_bars_hold': 39}"
101,RSI_ADX_CHOP,50.06,91.94,36.787,216.161,"{'strategy_type': 'RSI_ADX_CHOP', 'adx_min': 10.828171012331541, 'adx_max': 22.639330558652908, 'chop_max': 60.92738614041457, 'rsi_os': 27.176789400993083, 'rsi_ob': 77.01019133464486, 'sl_atr': 4.0, 'tp_atr': 0.6, 'max_bars_hold': 47}"
103,RSI_ADX_CHOP,26.12,91.16,376.747,462.223,"{'strategy_type': 'RSI_ADX_CHOP', 'adx_min': 11.88201078239094, 'adx_max': 23.15896613855151, 'chop_max': 58.62890009440086, 'rsi_os': 29.22778988339072, 'rsi_ob': 78.45158011105228, 'sl_atr': 4.0, 'tp_atr': 0.8, 'max_bars_hold': 42}"
104,RSI_ADX_CHOP,26.06,87.54,443.022,527.956,"{'strategy_type': 'RSI_ADX_CHOP', 'adx_min': 12.18975353272377, 'adx_max': 23.276520586890964, 'chop_max': 58.87091695219611, 'rsi_os': 28.64096439112028, 'rsi_ob': 77.27164026601143, 'sl_atr': 4.0, 'tp_atr': 0.9, 'max_bars_hold': 42}"
106,RSI_ADX_CHOP,25.25,81.41,375.524,457.415,"{'strategy_type': 'RSI_ADX_CHOP', 'adx_min': 12.949851436052331, 'adx_max': 23.258690764658276, 'chop_max': 58.68755937466227, 'rsi_os': 28.52530877575551, 'rsi_ob': 78.51142583201384, 'sl_atr': 3.5, 'tp_atr': 0.8, 'max_bars_hold': 31}"
107,RSI_ADX_CHOP,25.25,85.26,376.984,459.26,"{'strategy_type': 'RSI_ADX_CHOP', 'adx_min': 12.33848950615292, 'adx_max': 23.279859326580407, 'chop_max': 58.819127084358065, 'rsi_os': 29.80505678048925, 'rsi_ob': 78.60139714274557, 'sl_atr': 3.5, 'tp_atr': 0.8, 'max_bars_hold': 45}"
108,RSI_ADX_CHOP,0.87,76.88,578.75,587.048,"{'strategy_type': 'RSI_ADX_CHOP', 'adx_min': 13.186291811297712, 'adx_max': 23.131149954095996, 'chop_max': 58.88096886187222, 'rsi_os': 29.894333932665706, 'rsi_ob': 79.14514743251182, 'sl_atr': 3.5, 'tp_atr': 1.1, 'max_bars_hold': 44}"
109,RSI_ADX_CHOP,0.9,71.55,568.511,576.366,"{'strategy_type': 'RSI_ADX_CHOP', 'adx_min': 13.086990150864013, 'adx_max': 23.288680856367293, 'chop_max': 58.783079264265275, 'rsi_os': 29.904349362646204, 'rsi_ob': 78.08117542729595, 'sl_atr': 2.8, 'tp_atr': 1.1, 'max_bars_hold': 44}"
110,RSI_ADX_CHOP,1.09,65.93,-0.876,6.987,"{'strategy_type': 'RSI_ADX_CHOP', 'adx_min': 13.2807242890389, 'adx_max': 23.072538087636385, 'chop_max': 58.54872833724291, 'rsi_os': 30.880139849681004, 'rsi_ob': 79.10342713451453, 'sl_atr': 2.7, 'tp_atr': 1.3, 'max_bars_hold': 45}"
