Regime,Trigger,Param,SL_ATR,TP_ATR,Trades,WinRate,ProfitFactor,Expectancy
No_Filter,BB_Exhaustion,2.0,2.0,1.0,24385,65.34,0.61,-1.6404
HTF_Trend,RSI_Extreme,20,1.5,1.0,9541,59.45,0.61,-4.1338
No_Filter,BB_Exhaustion,2.5,1.0,1.5,10761,41.47,0.61,-3.7167
No_Filter,RSI_Extreme,15,0.5,2.0,43004,23.35,0.61,-0.9304
HTF_Trend,RSI_Extreme,15,0.5,2.0,5343,22.7,0.61,-7.4754
Chop_Squeeze,RSI_Extreme,15,0.5,3.0,1864,17.71,0.61,-19.2268
HTF_Trend,BB_Exhaustion,2.5,0.5,3.0,57,17.54,0.61,-40.7538
Chop_Squeeze,RSI_Extreme,15,2.0,1.0,1893,65.65,0.6,-10.5737
No_Filter,RSI_Extreme,10,2.0,1.0,21161,65.05,0.6,-1.8893
No_Filter,RSI_Extreme,15,2.0,1.0,33570,64.91,0.6,-1.192
No_Filter,RSI_Extreme,20,2.0,1.0,44010,64.74,0.6,-0.9094
HTF_Trend,RSI_Extreme,15,1.0,1.0,5049,51.84,0.6,-7.6088
No_Filter,BB_Exhaustion,2.0,1.0,1.5,26674,42.06,0.6,-1.4997
No_Filter,RSI_Extreme,20,1.0,1.5,49994,41.58,0.6,-0.8002
No_Filter,BB_Exhaustion,3.0,1.0,1.5,3215,41.49,0.6,-11.1034
HTF_Trend,RSI_Extreme,20,1.0,1.5,9675,41.4,0.6,-4.1252
HTF_Trend,RSI_Extreme,15,0.5,1.5,5384,27.95,0.6,-7.4169
No_Filter,BB_Exhaustion,3.0,0.5,2.0,3243,24.01,0.6,-11.7902
No_Filter,RSI_Extreme,20,0.5,2.0,57732,23.21,0.6,-0.693
No_Filter,StochRSI_Cross,N/A,0.5,2.0,49738,22.08,0.6,-0.8042
HTF_Trend,RSI_Extreme,20,0.5,3.0,10262,18.33,0.6,-3.8992
Chop_Squeeze,RSI_Extreme,20,0.5,3.0,4414,17.42,0.6,-9.1772
No_Filter,StochRSI_Cross,N/A,2.0,1.0,43036,63.27,0.59,-0.9297
No_Filter,BB_Exhaustion,2.0,1.5,1.0,25924,59.61,0.59,-1.5433
No_Filter,RSI_Extreme,10,1.5,1.0,22448,59.51,0.59,-1.7822
Chop_Squeeze,RSI_Extreme,10,1.0,1.0,416,52.35,0.59,-24.0372
Chop_Squeeze,StochRSI_Cross,N/A,1.0,1.5,4540,40.36,0.59,-8.783
HTF_Trend,BB_Exhaustion,2.5,0.5,1.0,58,37.93,0.59,-34.2185
HTF_Trend,StochRSI_Cross,N/A,0.5,1.5,25423,26.18,0.59,-1.5736
No_Filter,RSI_Extreme,10,0.5,2.0,26026,23.71,0.59,-1.5371
No_Filter,StochRSI_Cross,N/A,0.5,3.0,44077,17.23,0.59,-0.9076
Chop_Squeeze,BB_Exhaustion,2.0,0.5,3.0,1097,16.77,0.59,-29.0745
No_Filter,BB_Exhaustion,2.5,2.0,1.0,10376,64.82,0.58,-3.7869
Chop_Squeeze,BB_Exhaustion,2.0,2.0,1.0,1153,64.63,0.58,-13.3147
Chop_Squeeze,RSI_Extreme,15,1.5,1.0,1903,59.76,0.58,-12.5234
No_Filter,RSI_Extreme,15,1.5,1.0,36428,59.14,0.58,-1.0984
No_Filter,StochRSI_Cross,N/A,1.5,1.0,47317,57.77,0.58,-0.8454
No_Filter,RSI_Extreme,10,1.0,1.0,24257,50.92,0.58,-1.6493
Chop_Squeeze,RSI_Extreme,15,1.0,1.5,1879,40.25,0.58,-16.3123
Chop_Squeeze,RSI_Extreme,20,1.0,1.5,4504,40.01,0.58,-8.6715
HTF_Trend,BB_Exhaustion,2.0,0.5,1.5,1003,29.11,0.58,-28.7707
HTF_Trend,BB_Exhaustion,2.5,0.5,1.5,57,26.32,0.58,-41.409
Chop_Squeeze,RSI_Extreme,15,0.5,2.0,1880,22.85,0.58,-19.2318
No_Filter,RSI_Extreme,10,0.5,3.0,24966,18.54,0.58,-1.6023
Chop_Squeeze,RSI_Extreme,20,2.0,1.0,4640,63.98,0.57,-7.3862
HTF_Trend,StochRSI_Cross,N/A,2.0,1.0,20283,62.56,0.57,-1.972
No_Filter,BB_Exhaustion,2.5,1.5,1.0,10621,59.13,0.57,-3.7456
No_Filter,RSI_Extreme,20,1.5,1.0,48890,59.12,0.57,-0.8184
HTF_Trend,StochRSI_Cross,N/A,1.5,1.0,21911,57.24,0.57,-1.8259
Chop_Squeeze,BB_Exhaustion,2.0,1.0,1.5,1130,38.82,0.57,-22.3232
No_Filter,StochRSI_Cross,N/A,0.5,1.5,53601,26.92,0.57,-0.7463
HTF_Trend,RSI_Extreme,20,0.5,2.0,10616,23.28,0.57,-3.7694
Chop_Squeeze,StochRSI_Cross,N/A,0.5,2.0,4757,22.3,0.57,-8.6404
No_Filter,BB_Exhaustion,3.0,1.5,1.0,3209,59.32,0.56,-10.0134
Chop_Squeeze,RSI_Extreme,20,1.5,1.0,4675,58.3,0.56,-7.7581
No_Filter,RSI_Extreme,15,1.0,1.0,40556,50.16,0.56,-0.9864
No_Filter,StochRSI_Cross,N/A,1.0,1.0,52245,48.99,0.56,-0.7657
HTF_Trend,StochRSI_Cross,N/A,1.0,1.0,23974,48.36,0.56,-1.6688
No_Filter,BB_Exhaustion,2.0,0.5,1.5,29669,28.11,0.56,-1.3482
No_Filter,BB_Exhaustion,3.0,2.0,1.0,3191,64.21,0.55,-9.4106
HTF_Trend,RSI_Extreme,20,1.0,1.0,10024,50.72,0.55,-3.9858
No_Filter,RSI_Extreme,10,0.5,1.5,26399,28.68,0.55,-1.5154
No_Filter,BB_Exhaustion,2.5,0.5,1.5,11200,27.71,0.55,-3.5742
Chop_Squeeze,RSI_Extreme,20,0.5,2.0,4538,22.21,0.55,-8.9653
Chop_Squeeze,BB_Exhaustion,2.0,0.5,2.0,1131,21.42,0.55,-28.6224
Chop_Squeeze,BB_Exhaustion,2.0,1.5,1.0,1154,58.34,0.54,-16.7761
Chop_Squeeze,BB_Exhaustion,2.5,1.0,1.0,119,50.86,0.54,-26.4696
No_Filter,BB_Exhaustion,2.0,1.0,1.0,28004,50.34,0.54,-1.4285
Chop_Squeeze,RSI_Extreme,15,0.5,1.5,1912,27.43,0.54,-19.1594
Chop_Squeeze,BB_Exhaustion,2.5,0.5,2.0,119,20.66,0.54,-48.1066
Chop_Squeeze,StochRSI_Cross,N/A,2.0,1.0,4414,62.99,0.53,-8.1549
Chop_Squeeze,StochRSI_Cross,N/A,1.5,1.0,4541,57.92,0.53,-8.3498
No_Filter,BB_Exhaustion,2.5,1.0,1.0,10945,50.02,0.53,-3.6554
Chop_Squeeze,RSI_Extreme,10,0.5,1.0,418,38.22,0.53,-39.4927
HTF_Trend,RSI_Extreme,15,0.5,1.0,5429,36.06,0.53,-7.3617
No_Filter,BB_Exhaustion,3.0,0.5,1.5,3247,28.67,0.53,-11.9962
No_Filter,RSI_Extreme,15,0.5,1.5,44787,28.08,0.53,-0.8933
Chop_Squeeze,RSI_Extreme,20,0.5,1.5,4711,27.05,0.53,-8.657
HTF_Trend,BB_Exhaustion,2.5,1.0,0.5,58,68.97,0.52,-16.2062
No_Filter,RSI_Extreme,20,1.0,1.0,56054,50.28,0.52,-0.7137
Chop_Squeeze,RSI_Extreme,15,1.0,1.0,1915,49.73,0.52,-16.0734
HTF_Trend,BB_Exhaustion,2.0,0.5,1.0,1017,37.63,0.52,-28.2972
HTF_Trend,RSI_Extreme,10,0.5,1.0,1813,37.46,0.52,-19.5232
HTF_Trend,RSI_Extreme,20,0.5,1.5,10817,27.91,0.52,-3.6998
No_Filter,RSI_Extreme,20,0.5,1.5,62077,27.8,0.51,-0.6445
Chop_Squeeze,StochRSI_Cross,N/A,0.5,1.5,4844,26.89,0.51,-8.4946
No_Filter,BB_Exhaustion,3.0,1.0,1.0,3232,49.67,0.5,-11.2626
Chop_Squeeze,BB_Exhaustion,2.0,1.0,1.0,1157,49.06,0.5,-21.6083
Chop_Squeeze,StochRSI_Cross,N/A,1.0,1.0,4756,48.68,0.5,-8.5039
Chop_Squeeze,RSI_Extreme,20,1.0,1.0,4737,48.66,0.5,-8.3076
No_Filter,BB_Exhaustion,2.0,0.5,1.0,30542,35.37,0.49,-1.3097
Chop_Squeeze,BB_Exhaustion,2.0,0.5,1.5,1144,25.27,0.49,-29.6628
No_Filter,RSI_Extreme,10,0.5,1.0,26716,35.61,0.48,-1.4974
HTF_Trend,RSI_Extreme,20,0.5,1.0,11037,35.59,0.48,-3.626
HTF_Trend,StochRSI_Cross,N/A,0.5,1.0,25813,33.3,0.48,-1.5499
No_Filter,BB_Exhaustion,2.5,0.5,1.0,11316,34.98,0.47,-3.5378
Chop_Squeeze,BB_Exhaustion,2.5,0.5,3.0,119,13.88,0.47,-58.5475
Chop_Squeeze,RSI_Extreme,15,0.5,1.0,1941,35.36,0.46,-19.3263
No_Filter,StochRSI_Cross,N/A,0.5,1.0,57269,33.87,0.46,-0.6985
No_Filter,RSI_Extreme,15,0.5,1.0,46290,35.14,0.45,-0.8643
No_Filter,BB_Exhaustion,3.0,0.5,1.0,3258,35.03,0.44,-12.104
Chop_Squeeze,RSI_Extreme,20,0.5,1.0,4887,34.48,0.44,-8.3834
Chop_Squeeze,BB_Exhaustion,2.0,0.5,1.0,1165,34.29,0.44,-29.1056
No_Filter,RSI_Extreme,20,0.5,1.0,66419,35.14,0.43,-0.6023
Chop_Squeeze,StochRSI_Cross,N/A,0.5,1.0,4986,33.71,0.43,-8.2822
HTF_Trend,BB_Exhaustion,2.0,2.0,0.5,1003,70.71,0.42,-10.1539
Chop_Squeeze,BB_Exhaustion,2.5,0.5,1.5,119,22.2,0.42,-58.4764
HTF_Trend,RSI_Extreme,10,2.0,0.5,1719,68.99,0.4,-10.2971
HTF_Trend,RSI_Extreme,15,2.0,0.5,5092,68.8,0.4,-6.5001
Chop_Squeeze,RSI_Extreme,10,2.0,0.5,418,67.51,0.4,-14.1226
Chop_Squeeze,BB_Exhaustion,2.5,0.5,1.0,119,32.37,0.4,-53.2672
HTF_Trend,BB_Exhaustion,2.0,1.5,0.5,1006,66.75,0.39,-13.8158
No_Filter,BB_Exhaustion,2.0,2.0,0.5,27434,66.16,0.38,-1.4582
HTF_Trend,RSI_Extreme,10,1.5,0.5,1729,65.21,0.38,-12.8502
HTF_Trend,RSI_Extreme,15,1.5,0.5,5133,65.15,0.38,-7.0655
HTF_Trend,RSI_Extreme,20,2.0,0.5,10204,67.2,0.37,-3.83
No_Filter,RSI_Extreme,15,2.0,0.5,39168,65.79,0.37,-1.0214
No_Filter,RSI_Extreme,20,2.0,0.5,54689,65.72,0.37,-0.7314
Chop_Squeeze,RSI_Extreme,10,1.5,0.5,418,63.78,0.37,-18.8574
No_Filter,BB_Exhaustion,2.0,1.5,0.5,28605,61.94,0.37,-1.3986
HTF_Trend,RSI_Extreme,10,1.0,0.5,1755,59.47,0.37,-16.0438
Chop_Squeeze,BB_Exhaustion,2.5,2.0,0.5,119,72.42,0.36,-14.138
No_Filter,RSI_Extreme,10,2.0,0.5,23284,66.08,0.36,-1.7179
No_Filter,StochRSI_Cross,N/A,2.0,0.5,50517,65.09,0.36,-0.7918
HTF_Trend,RSI_Extreme,20,1.5,0.5,10359,63.41,0.36,-3.8369
No_Filter,RSI_Extreme,10,1.5,0.5,24229,61.94,0.36,-1.651
No_Filter,RSI_Extreme,15,1.5,0.5,41415,61.7,0.36,-0.966
No_Filter,RSI_Extreme,20,1.5,0.5,58820,61.57,0.36,-0.6801
Chop_Squeeze,RSI_Extreme,15,2.0,0.5,1937,67.96,0.35,-10.9614
HTF_Trend,StochRSI_Cross,N/A,2.0,0.5,22382,65.11,0.35,-1.7872
No_Filter,StochRSI_Cross,N/A,1.5,0.5,53769,61.02,0.35,-0.744
HTF_Trend,StochRSI_Cross,N/A,1.5,0.5,23615,60.94,0.35,-1.6941
Chop_Squeeze,BB_Exhaustion,2.5,1.5,0.5,119,69.03,0.34,-18.8164
HTF_Trend,RSI_Extreme,15,1.0,0.5,5258,57.68,0.34,-7.4447
HTF_Trend,StochRSI_Cross,N/A,1.0,0.5,25013,53.68,0.34,-1.5995
HTF_Trend,RSI_Extreme,20,1.0,0.5,10725,56.1,0.33,-3.7296
No_Filter,RSI_Extreme,10,1.0,0.5,25575,54.66,0.33,-1.5643
HTF_Trend,BB_Exhaustion,2.5,0.5,0.5,58,48.28,0.33,-44.4833
No_Filter,BB_Exhaustion,2.5,2.0,0.5,10865,66.62,0.32,-3.6467
