Trial,Strategy,PF,WR,Sharpe,Score,Params
32,CAPITULATION,26.29,80.5,27.156,112.076,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.030715821214375584, 'b_upper': 0.9292765759684474, 'b_trigger_l': 0.16700227187169067, 'b_trigger_s': 0.8253264067847115, 'vol_mult': 2.3376824768617754, 'atr_mult': 2.3175007330513027, 'sl_atr': 5.5, 'tp_atr': 2.4, 'max_bars_hold': 54}"
33,CAPITULATION,25.82,76.33,0.098,83.191,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.029744515623563506, 'b_upper': 0.924159760097539, 'b_trigger_l': 0.16326989851352916, 'b_trigger_s': 0.8213190966435719, 'vol_mult': 2.3698177821821838, 'atr_mult': 2.403100188759659, 'sl_atr': 5.6, 'tp_atr': 1.7, 'max_bars_hold': 54}"
35,CAPITULATION,27.16,79.17,-0.047,87.35,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.03229060126028402, 'b_upper': 0.9027877696004626, 'b_trigger_l': 0.14934664436757547, 'b_trigger_s': 0.8996464629046458, 'vol_mult': 2.5374424292127205, 'atr_mult': 2.5637828089095382, 'sl_atr': 4.7, 'tp_atr': 1.7, 'max_bars_hold': 46}"
36,RSI_ADX_CHOP,1.2,76.81,18.718,49.999,"{'strategy_type': 'RSI_ADX_CHOP', 'adx_min': 19.69767907099042, 'adx_max': 21.165378199473135, 'chop_max': 50.383307068869925, 'rsi_os': 20.904610087913703, 'rsi_ob': 60.08538383263414, 'sl_atr': 4.8, 'tp_atr': 1.6, 'max_bars_hold': 46}"
37,CAPITULATION,50.64,80.31,0.494,158.445,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.0404681180037223, 'b_upper': 0.901056427483871, 'b_trigger_l': 0.1456423129357365, 'b_trigger_s': 0.9071871918050113, 'vol_mult': 2.6765835932837243, 'atr_mult': 2.601504240723671, 'sl_atr': 6.0, 'tp_atr': 1.8, 'max_bars_hold': 22}"
40,TREND_SCALP,0.68,78.19,-2.109,5.75,"{'strategy_type': 'TREND_SCALP', 'use_candle_color': True, 'regime': 'chop', 'use_sweep': True, 'sweep_lookback': 49, 'use_poc': False, 'sl_atr': 4.9, 'tp_atr': 1.1, 'max_bars_hold': 27}"
41,CAPITULATION,27.1,81.0,0.146,87.546,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.039445322064466964, 'b_upper': 0.9007724546514148, 'b_trigger_l': 0.1485396372793839, 'b_trigger_s': 0.9046411189941802, 'vol_mult': 2.629635176609035, 'atr_mult': 2.498456865992793, 'sl_atr': 5.6, 'tp_atr': 1.9, 'max_bars_hold': 43}"
42,CAPITULATION,1.61,38.98,-0.129,6.599,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.043785371046900244, 'b_upper': 0.9011490306585528, 'b_trigger_l': 0.14345116042320286, 'b_trigger_s': 0.9026211178491312, 'vol_mult': 2.6976486585333483, 'atr_mult': 2.6269756558637996, 'sl_atr': 0.5, 'tp_atr': 2.1, 'max_bars_hold': 45}"
44,CAPITULATION,49.96,74.7,-0.958,154.392,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.005114061369450102, 'b_upper': 0.9169795296425861, 'b_trigger_l': 0.15657357118060838, 'b_trigger_s': 0.8894255054893647, 'vol_mult': 2.8471414170468927, 'atr_mult': 2.4547708718252705, 'sl_atr': 0.9, 'tp_atr': 1.1, 'max_bars_hold': 32}"
45,CAPITULATION,50.18,84.53,-0.356,156.637,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.003283038049348232, 'b_upper': 0.9095212217165597, 'b_trigger_l': 0.1335861943081508, 'b_trigger_s': 0.8894835833544791, 'vol_mult': 2.8582546138237, 'atr_mult': 2.4600447397804235, 'sl_atr': 1.4, 'tp_atr': 1.1, 'max_bars_hold': 33}"
