Trial,Strategy,PF,WR,Sharpe,Score,Params
30,RSI_ADX_CHOP,1.34,56.78,0.689,8.387,"{'strategy_type': 'RSI_ADX_CHOP', 'adx_min': 19.779154344526766, 'adx_max': 20.086738052818138, 'chop_max': 50.83705048203686, 'rsi_os': 20.658070439766266, 'rsi_ob': 61.83605840495946, 'sl_atr': 4.1, 'tp_atr': 5.9, 'max_bars_hold': 87}"
31,CAPITULATION,25.09,71.16,-0.955,79.431,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.08489336927146642, 'b_upper': 0.9943323478502866, 'b_trigger_l': 0.19005591316778825, 'b_trigger_s': 0.8004915796891905, 'vol_mult': 2.995465346088207, 'atr_mult': 2.9197453958225497, 'sl_atr': 5.9, 'tp_atr': 0.5, 'max_bars_hold': 100}"
32,CAPITULATION,29.29,81.67,43.768,137.805,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.08746170610744038, 'b_upper': 0.9908110172149914, 'b_trigger_l': 0.19967602789021754, 'b_trigger_s': 0.8147781537097254, 'vol_mult': 2.6776647536370963, 'atr_mult': 2.9914358116962214, 'sl_atr': 5.7, 'tp_atr': 1.1, 'max_bars_hold': 96}"
33,CAPITULATION,25.65,63.17,1.722,82.989,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.08953820720665835, 'b_upper': 0.9891852294770375, 'b_trigger_l': 0.18234548611216783, 'b_trigger_s': 0.8224972198556135, 'vol_mult': 2.7436044870154856, 'atr_mult': 2.8137841441044245, 'sl_atr': 5.6, 'tp_atr': 8.0, 'max_bars_hold': 95}"
34,CAPITULATION,0.83,74.08,0.268,8.166,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.09913863073940843, 'b_upper': 0.9730489079012153, 'b_trigger_l': 0.11330249834540176, 'b_trigger_s': 0.892658162367016, 'vol_mult': 2.457565690203186, 'atr_mult': 2.3503236694038456, 'sl_atr': 5.2, 'tp_atr': 1.2, 'max_bars_hold': 85}"
35,CAPITULATION,31.73,81.25,37.992,139.307,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.07723871053427962, 'b_upper': 0.9906480169524001, 'b_trigger_l': 0.15076270274786238, 'b_trigger_s': 0.85500153409782, 'vol_mult': 2.788964049846629, 'atr_mult': 2.9992449259982332, 'sl_atr': 5.8, 'tp_atr': 1.0, 'max_bars_hold': 95}"
37,CAPITULATION,3.58,55.73,83.648,97.961,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.07616689418188434, 'b_upper': 0.9491496552866727, 'b_trigger_l': 0.15195501838397668, 'b_trigger_s': 0.8634205953059131, 'vol_mult': 2.7531311689710556, 'atr_mult': 2.5687924841472407, 'sl_atr': 5.5, 'tp_atr': 2.7, 'max_bars_hold': 73}"
40,CAPITULATION,1.38,53.22,6.253,13.715,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.04148027017261387, 'b_upper': 0.9727411577869274, 'b_trigger_l': 0.12359780289513617, 'b_trigger_s': 0.855417053024629, 'vol_mult': 2.4651712294139516, 'atr_mult': 2.83025066438163, 'sl_atr': 5.7, 'tp_atr': 5.1, 'max_bars_hold': 47}"
41,CAPITULATION,3.2,58.03,83.619,97.022,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.0738990200879018, 'b_upper': 0.9492263895554642, 'b_trigger_l': 0.14810445091715735, 'b_trigger_s': 0.8616597987109854, 'vol_mult': 2.7784844779665785, 'atr_mult': 2.6315055364230204, 'sl_atr': 5.7, 'tp_atr': 2.7, 'max_bars_hold': 73}"
42,CAPITULATION,5.17,60.79,63.021,82.61,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.07852988281008894, 'b_upper': 0.9490094277967985, 'b_trigger_l': 0.1484779617130619, 'b_trigger_s': 0.8885384716984976, 'vol_mult': 2.774212361117134, 'atr_mult': 2.8494842458313627, 'sl_atr': 5.4, 'tp_atr': 2.1, 'max_bars_hold': 95}"
43,CAPITULATION,3.68,76.19,23.219,39.878,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.09052384506292568, 'b_upper': 0.9356110742948057, 'b_trigger_l': 0.1568082645537805, 'b_trigger_s': 0.8379898265138243, 'vol_mult': 2.5652288324656762, 'atr_mult': 2.6438681990850705, 'sl_atr': 5.7, 'tp_atr': 0.9, 'max_bars_hold': 64}"
44,CAPITULATION,25.95,67.86,99.34,181.976,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.06434484259006326, 'b_upper': 0.9887638132655391, 'b_trigger_l': 0.13648321957820658, 'b_trigger_s': 0.8779867773217955, 'vol_mult': 2.8093274278933777, 'atr_mult': 2.8705010930826758, 'sl_atr': 4.6, 'tp_atr': 3.1, 'max_bars_hold': 83}"
